url,Perfume,Brand,Country,Gender,Rating Value,Rating Count,Year,Top,Middle,Base,Perfumer1,Perfumer2,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5,descricao
https://www.fragrantica.com/perfume/bruno-banani/pride-edition-man-55514.html,pride-edition-man,bruno-banani,Germany,men,"1,92",59,2019.0,"guarana, grapefruit, red apple","walnut, lavender, guava","vetiver, benzoin, amber",unknown,,fruity,nutty,woody,tropical,,"Perfume: pride-edition-man. Marca: bruno-banani. Notas de topo: guarana, grapefruit, red apple. Notas de coração: walnut, lavender, guava. Notas de fundo: vetiver, benzoin, amber. Acordes: fruity nutty woody"
https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-pride-collector-60765.html,le-male-pride-collector,jean-paul-gaultier,France,men,"1,93",632,2020.0,"mint, lavender, cardamom, artemisia, bergamot","caraway, cinnamon, orange blossom","vanilla, sandalwood, amber, cedar, tonka bean",francis kurkdjian,,aromatic,warm spicy,fresh spicy,cinnamon,vanilla,"Perfume: le-male-pride-collector. Marca: jean-paul-gaultier. Notas de topo: mint, lavender, cardamom, artemisia, bergamot. Notas de coração: caraway, cinnamon, orange blossom. Notas de fundo: vanilla, sandalwood, amber, cedar, tonka bean. Acordes: aromatic warm spicy fresh spicy"
https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-pride-2023-81774.html,le-male-pride-2023,jean-paul-gaultier,France,men,"1,95",531,2023.0,"yuzu, blood orange","neroli, orange blossom","musk, white woods",unknown,,citrus,white floral,sweet,fresh spicy,green,"Perfume: le-male-pride-2023. Marca: jean-paul-gaultier. Notas de topo: yuzu, blood orange. Notas de coração: neroli, orange blossom. Notas de fundo: musk, white woods. Acordes: citrus white floral sweet"
https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-pride-2024-90393.html,le-male-pride-2024,jean-paul-gaultier,France,men,"1,95",285,2024.0,"citruses, yuzu","neroli, orange blossom","woodsy notes, musk",unknown,,white floral,citrus,fresh,soapy,,"Perfume: le-male-pride-2024. Marca: jean-paul-gaultier. Notas de topo: citruses, yuzu. Notas de coração: neroli, orange blossom. Notas de fundo: woodsy notes, musk. Acordes: white floral citrus fresh"
https://www.fragrantica.com/perfume/ralph-lauren/polo-red-pride-edition-62728.html,polo-red-pride-edition,ralph-lauren,USA,men,"2,05",107,2020.0,"cranberry, pink grapefruit, citron","clary sage, lavender, saffron","amberwood, brazilian redwood, coffee",olivier gillotin,,woody,amber,citrus,warm spicy,aromatic,"Perfume: polo-red-pride-edition. Marca: ralph-lauren. Notas de topo: cranberry, pink grapefruit, citron. Notas de coração: clary sage, lavender, saffron. Notas de fundo: amberwood, brazilian redwood, coffee. Acordes: woody amber citrus"
https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-pride-edition-73607.html,le-male-pride-edition,jean-paul-gaultier,France,men,"2,53",662,2022.0,"blood orange, yuzu","neroli, orange blossom","musk, white woods",natalie gracia-cetto,quentin bisch,citrus,white floral,fresh spicy,sweet,musky,"Perfume: le-male-pride-edition. Marca: jean-paul-gaultier. Notas de topo: blood orange, yuzu. Notas de coração: neroli, orange blossom. Notas de fundo: musk, white woods. Acordes: citrus white floral fresh spicy"
https://www.fragrantica.com/perfume/trump/donald-trump-22530.html,donald-trump,trump,USA,men,"2,68",569,2004.0,"cucumber, black basil, mint, citruses","spicy notes, pepper, herbal notes, woody notes","spicy notes, exotic woods, vetiver",annie buzantian,,green,fresh spicy,aromatic,ozonic,aquatic,"Perfume: donald-trump. Marca: trump. Notas de topo: cucumber, black basil, mint, citruses. Notas de coração: spicy notes, pepper, herbal notes, woody notes. Notas de fundo: spicy notes, exotic woods, vetiver. Acordes: green fresh spicy aromatic"
https://www.fragrantica.com/perfume/michael-malul-london/visionair-midnight-blue-62601.html,visionair-midnight-blue,michael-malul-london,USA,men,"2,71",42,2020.0,"watermelon, lavender, bergamot","lotus, jasmine","musk, sandalwood, amber",unknown,,ozonic,aquatic,lavender,citrus,floral,"Perfume: visionair-midnight-blue. Marca: michael-malul-london. Notas de topo: watermelon, lavender, bergamot. Notas de coração: lotus, jasmine. Notas de fundo: musk, sandalwood, amber. Acordes: ozonic aquatic lavender"
https://www.fragrantica.com/perfume/o-boticario/malbec-sport-41727.html,malbec-sport,o-boticario,Brazil,men,"2,72",299,2016.0,"nutmeg, cardamom, lime, bergamot, mandarin orange, juniper","lavender, geranium, head space waterfall, sage","leather, patchouli, sandalwood, musk, amber, cedar, moss, vetiver, tonka bean",francisco marano,,leather,fresh spicy,warm spicy,woody,aromatic,"Perfume: malbec-sport. Marca: o-boticario. Notas de topo: nutmeg, cardamom, lime, bergamot, mandarin orange, juniper. Notas de coração: lavender, geranium, head space waterfall, sage. Notas de fundo: leather, patchouli, sandalwood, musk, amber, cedar, moss, vetiver, tonka bean. Acordes: leather fresh spicy warm spicy"
https://www.fragrantica.com/perfume/in-the-box/aventhis-64328.html,aventhis,in-the-box,Brazil,men,"2,83",65,2019.0,"bergamot, pineapple, apple, black currant leaf","birch, patchouli, red berries, jasmine","oakmoss, musk, amber, vanilla",unknown,,fruity,mossy,woody,earthy,citrus,"Perfume: aventhis. Marca: in-the-box. Notas de topo: bergamot, pineapple, apple, black currant leaf. Notas de coração: birch, patchouli, red berries, jasmine. Notas de fundo: oakmoss, musk, amber, vanilla. Acordes: fruity mossy woody"
